Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram,YouTube,Широта,Долгота,2GIS URL
kari,магазин обуви и аксессуаров ,Обувные магазины; Сумки / Кожгалантерея; Бижутерия; Головные / шейные уборы,"улица Кабдолова, 1/4",8 блок; 1 этаж,050062,,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.3,69,88000801919 (горячая линия: круглосуточно),,,,,http://kz.kari.com,,https://instagram.com/kari_club,,,https://vk.com/kariclub,,,,,https://t.me/kariofficial,https://youtube.com/shopkari,43.238987,76.85207,https://2gis.com/firm/70000001041054831
La Rossa,магазин женской обуви,Обувные магазины,"улица Макатаева, 127/1",,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.4,35,87775177788 (единый номер - пн-вс 10:00-22:00),,,,,,,https://instagram.com/larossa.kz,,,,https://wa.me/77775177788,,,,,,43.26362,76.929713,https://2gis.com/firm/70000001052384597
Flo,бутик обуви,Обувные магазины; Сумки / Кожгалантерея,"проспект Сейфуллина, 483",2 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,2.2,31,,,,,,http://flo.com.tr,,https://instagram.com/floshoes.kz,,https://facebook.com/FLOShoesKazakhstan,,,,,,,,43.263515,76.929511,https://2gis.com/firm/70000001021871164
Anywear,интернет-магазин кроссовок,Обувные магазины; Спортивная одежда / обувь,"улица Есенберлина, 155",,050007,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+05:00,5.0,28,87775951965,,,anywear.kz@gmail.com,,http://anywear.kz,,https://instagram.com/anywear.kz,,,,https://wa.me/77775951965,,,,https://t.me/+77775951965,,43.265103,76.973483,https://2gis.com/firm/70000001080836011
Sneakerlab,магазин спортивной обуви,Обувные магазины,"улица Шевченко, 96",1 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,,+05:00,4.5,9,87058693494,,,,,,,https://instagram.com/sneakerlabalmaty,,,,https://wa.me/77058693494,,,,,,43.245402,76.934803,https://2gis.com/firm/70000001083380684
Seendicat,магазин мужской одежды,Обувные магазины; Мужская одежда,"проспект Абая, 89",2 этаж,050022,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+05:00,4.5,34,,,,seendicat2022@gmail.com,,,,https://instagram.com/seendicat_qr,,,,https://wa.me/77051857830,,,,,,43.241355,76.925455,https://2gis.com/firm/70000001077727642
Sezon,магазин немецкой обуви,Обувные магазины; Сумки / Кожгалантерея,"улица Гоголя, 99",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 11:00-19:00,+05:00,3.8,5,87074041390,,,,,,,https://instagram.com/sezonkazakhstan,,,,https://wa.me/77074041390,,,,,,43.259794,76.939855,https://2gis.com/firm/70000001080038157
Cumania Bespoke Atelier,мужской шоурум и ателье по пошиву люксовой одежды,Обувные магазины; Ателье швейные; Мастерские по ремонту одежды; Мужская одежда,"улица Каныша Сатпаева, 30/8",150 офис; 1 этаж,050040,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 11:00-21:00; Вт: 11:00-21:00; Ср: 11:00-21:00; Чт: 11:00-21:00; Пт: 11:00-21:00; Сб: 11:00-21:00 (по предварительной записи),+05:00,5.0,10,87072718663,87477771773,,office.cumania@gmail.com,,,,https://instagram.com/cumania_official,,,,https://wa.me/77477771773,,,,,,43.234454,76.922011,https://2gis.com/firm/70000001080968340
Prestige,магазин женской одежды,Обувные магазины; Женская одежда; Сумки / Кожгалантерея,"проспект Назарбаева, 161",1 этаж,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,2.0,1,87011557369 (единая справочная),,,,,,,https://instagram.com/prestige_almaty_,,,,https://wa.me/77011557369,https://wa.me/77017212272,,,,,43.246993,76.947442,https://2gis.com/firm/70000001039355205
Steppe.qz,магазин кроссовок,Обувные магазины; Спортивная одежда / обувь,"улица Жолдасбекова, 9а",23 бутик; цокольный этаж; рядом с Degirmen,050051,Самал-1 м-н,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 11:00-20:00; Вт: 11:00-20:00; Ср: 11:00-20:00; Чт: 11:00-20:00; Пт: 11:00-20:00; Сб: 11:00-20:00; Вс: 11:00-20:00,+05:00,5.0,15,87010705636,,,,,http://tiktok.com/@steppe.qz,,https://instagram.com/steppe.qz,,,,https://wa.me/77010705636,,,,https://t.me/steppeqz,,43.234908,76.955409,https://2gis.com/firm/70000001084342878
